House area,Storeys,Yard Area,Water supply,Electricity,House Material,House Condition,Number of Bedrooms,Land Category,Ground Status,Bathroom,Sewerage,Heating,Gas,Cellar,Terrace,Garage,Bath,Security,Swimming pool,Year Built,Class,Price
260.0,2.0,12.0,Central,Yes,Brick,Can live,4.0,Lands of populated areas,Individual housing construction,1 in yard,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,28000000.0
400.0,2.0,5.0,Central,Yes,Monolithic,Can live,12.0,Lands of populated areas,Individual housing construction,6 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,20000000.0
470.0,2.0,13.0,Well,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Septic,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,2019.0,Other,95000000.0
196.0,3.0,5.0,Well,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,2 at home,Septic,Autonomous gas,Gasholder,1.0,1.0,1.0,0.0,0.0,0.0,2000.0,Other,19500000.0
180.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,18000000.0
390.0,3.0,11.0,Central,Yes,Monolithic,Can live,8.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,0.0,1.0,,Other,57000000.0
400.0,2.0,15.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,39000000.0
230.0,2.0,5.5,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,44000000.0
101.0,2.0,6.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,16999999.0
200.0,2.0,6.0,No,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,No,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,1.0,0.0,1.0,2021.0,Other,18000000.0
240.0,3.0,6.0,Central,Yes,Monolithic,Not specified,6.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,40500000.0
250.0,2.0,10.0,Yes,Yes,Brick,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,25000000.0
300.0,2.0,10.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Yes,0.0,0.0,1.0,1.0,1.0,1.0,,Other,25000000.0
275.0,3.0,14.0,Central,Yes,Gas concrete block,Needs repairs,5.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,18000000.0
350.0,2.0,11.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,1.0,2020.0,Other,25000000.0
235.0,2.0,5.0,Central,Yes,Monolithic,Needs repairs,4.0,Not specified,Individual housing construction,1 at home,Septic,Electric,Magistralny along the border,0.0,1.0,1.0,0.0,0.0,1.0,2022.0,Other,33000000.0
540.0,3.0,14.0,Central,Yes,Monolithic,Not specified,7.0,Not specified,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,43000000.0
350.0,3.0,10.0,Central,Yes,Monolithic,Can live,,Not specified,Individual housing construction,3 at home,Central,No,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,35000000.0
200.0,,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Economy,24000000.0
187.0,2.0,5.0,Central,Yes,Frame,Can live,4.0,Lands of populated areas,Gardening,1 at home,Septic,Electric,Magistralny along the border,0.0,0.0,0.0,0.0,0.0,0.0,2022.0,Other,29990000.0
253.0,2.0,12.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,15000000.0
230.0,2.0,10.0,Central,Yes,Brick,Can live,6.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,32000000.0
560.0,2.0,12.0,Central,Yes,Gas concrete block,Can live,6.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,0.0,1.0,0.0,,Other,36600000.0
207.2,3.0,1.19,No,Yes,Other,Needs repairs,,Lands of populated areas,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,Other,25300000.0
180.7,2.0,7.0,Yes,Yes,Brick,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,30600000.0
612.0,2.0,26.1,Central,Yes,Monolithic,Can live,6.0,Not specified,Individual housing construction,6 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,39000000.0
1200.0,4.0,14.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,120000000.0
342.0,2.0,12.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,28000000.0
120.0,3.0,2.56,Central,Yes,Monolithic,Needs repairs,4.0,Lands of populated areas,Individual housing construction,2 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,0.0,0.0,0.0,1994.0,Other,29500000.0
250.0,2.0,4.0,Central,Yes,Monolithic,Needs repairs,3.0,Lands of populated areas,Individual housing construction,2 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,1.0,1.0,2024.0,Other,42000000.0
228.0,2.0,4.0,No,Yes,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,18000000.0
270.0,2.0,11.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,28600000.0
145.0,2.0,10.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,12000000.0
180.0,2.0,6.0,Yes,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2019.0,Other,16200000.0
260.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,26900000.0
400.0,2.0,10.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,43000000.0
250.0,2.0,5.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,85000000.0
279.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Not specified,Individual housing construction,4 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,25000000.0
410.0,3.0,9.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,2 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,23000000.0
183.0,3.0,3.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,15000000.0
130.0,3.0,7.0,Central,Yes,Other,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Electric,Magistralny along the border,0.0,1.0,1.0,0.0,0.0,0.0,2023.0,Other,12000000.0
360.0,2.0,12.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,34000000.0
180.0,2.0,6.5,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,1.0,1.0,1.0,2020.0,Other,21000000.0
240.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,30000000.0
350.0,3.0,5.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,89000000.0
250.0,2.0,9.0,Central,Yes,Gas concrete block,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,38000000.0
275.0,2.0,11.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,15000000.0
320.0,2.0,7.0,Central,Yes,Monolithic,Can live,,Not specified,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,37000000.0
420.0,2.0,6.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,39000000.0
1150.0,2.0,37.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,250000000.0
250.0,2.0,7.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,1.0,1.0,1.0,2020.0,Other,20000000.0
73.4,2.0,1.14,No,Yes,Other,Needs repairs,,Lands of populated areas,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,Other,18700000.0
460.0,3.0,18.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,83000000.0
80.0,2.0,4.0,Central,Yes,Other,Needs repairs,2.0,Lands of populated areas,Gardening,1 at home,Septic,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,0.0,2024.0,Other,17000000.0
260.0,2.0,11.0,Central,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,1.0,1.0,2020.0,Other,19000000.0
246.0,3.0,28.0,Central,Yes,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,30000000.0
400.0,2.0,11.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,40000000.0
320.0,2.0,9.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,32400000.0
257.7,3.0,4.5,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Business,55000000.0
250.0,2.0,15.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2021.0,Other,24500000.0
800.0,2.0,30.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,60000000.0
240.0,2.0,8.0,Central,Yes,Monolithic,Not specified,,Not specified,Individual housing construction,In the house,Yes,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2020.0,Other,25000000.0
320.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,1.0,1.0,2019.0,Other,19000000.0
550.0,3.0,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Comfort,302500000.0
220.0,2.0,5.0,Central,Yes,Brick,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,42000000.0
300.0,2.0,12.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,41000000.0
270.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,30000000.0
1209.0,4.0,15.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,1.0,0.0,0.0,0.0,2013.0,Other,155000000.0
144.0,3.0,3.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,17000000.0
450.0,4.0,6.0,No,Yes,Gas concrete block,Not specified,20.0,Other,Individual housing construction,In the house,No,Autonomous gas,No,0.0,0.0,0.0,0.0,1.0,1.0,2021.0,Other,82000000.0
237.0,2.0,4.0,Central,Yes,Gas concrete block,Can live,3.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,,Other,29000000.0
370.0,3.0,11.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,19500000.0
510.0,3.0,14.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,4 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2018.0,Other,35000000.0
274.0,2.0,7.0,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Economy,75000000.0
650.0,3.0,10.0,No,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,No,No,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,21300000.0
240.0,2.0,9.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,19000000.0
350.0,2.0,15.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Yes,Central gas,Yes,0.0,0.0,1.0,1.0,0.0,0.0,,Other,35000000.0
57.0,1.0,14.6,Central,Yes,Frame,Needs repairs,3.0,Lands of populated areas,Individual housing construction,1 in yard,Central,No,Magistralny along the border,1.0,0.0,0.0,0.0,0.0,0.0,1969.0,Other,7950000.0
202.0,2.0,5.0,Well,Yes,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,1 at home,Septic,No,Magistralny along the border,0.0,0.0,1.0,0.0,1.0,1.0,2022.0,Other,30500000.0
62.0,2.0,4.5,Well,Yes,Frame,Can live,2.0,Lands of populated areas,Gardening,2 at home,Septic,Fireplace,Gasholder,1.0,1.0,1.0,0.0,0.0,0.0,,Other,5600000.0
300.0,2.0,10.0,Central,Yes,Gas concrete block,Not specified,4.0,Not specified,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,0.0,1.0,,Other,33000000.0
175.0,3.0,6.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,23000000.0
260.0,2.0,6.0,Central,Yes,Monolithic,Not specified,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,1.0,0.0,,Other,19000000.0
330.0,2.0,10.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,2 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,0.0,1.0,2020.0,Other,20000000.0
175.1,2.0,9.05,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,20000000.0
200.0,3.0,8.0,Yes,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,24000000.0
350.0,2.0,6.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,1 in yard,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,0.0,1.0,0.0,1.0,2022.0,Other,22300000.0
787.0,3.0,10.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,5 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2022.0,Other,330000000.0
254.0,2.0,11.0,Central,Yes,Monolithic,Can live,5.0,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,39000000.0
400.0,2.0,15.0,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2019.0,Other,19000000.0
600.0,3.0,25.0,Yes,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2022.0,Other,450000000.0
107.0,2.0,4.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,Yes,0.0,0.0,0.0,0.0,0.0,0.0,,Other,39000000.0
400.0,2.0,15.0,Yes,Yes,Monolithic,Not specified,5.0,Not specified,Individual housing construction,In the house,Yes,Autonomous gas,Yes,0.0,0.0,1.0,1.0,1.0,1.0,,Other,35000000.0
220.0,2.0,9.0,Central,Yes,Brick,Not specified,4.0,Not specified,Individual housing construction,4 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,2021.0,Other,24000000.0
210.0,,6.0,Central,No,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,1.0,0.0,0.0,0.0,1.0,,Other,18750000.0
240.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,1 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2020.0,Other,38000000.0
345.0,3.0,10.0,Central,Yes,Monolithic,Can live,5.0,Not specified,Individual housing construction,6 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,1.0,,Other,30300000.0
170.0,2.0,2.0,Central,Yes,Monolithic,Not specified,3.0,Not specified,Individual housing construction,3 at home,Central,Central gas,Magistralny along the border,0.0,0.0,1.0,0.0,1.0,0.0,2018.0,Other,25000000.0
98.9,3.0,2.45,No,Yes,Other,Needs repairs,,Lands of populated areas,Individual housing construction,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,Other,20000000.0
168.0,1.0,8.0,Central,Yes,Monolithic,Can live,3.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,,Other,18000000.0
174.0,2.0,8.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,0.0,,Other,20000000.0
320.0,3.0,9.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Autonomous gas,Mainline in the house or on the plot,1.0,1.0,1.0,1.0,1.0,1.0,2016.0,Other,29900000.0
200.0,2.0,6.0,No,Yes,Monolithic,Not specified,4.0,Not specified,Individual housing construction,In the house,No,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,0.0,1.0,2021.0,Other,22000000.0
300.0,3.0,6.0,Central,Yes,Monolithic,Needs repairs,,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,0.0,1.0,0.0,1.0,1.0,,Other,24000000.0
300.0,2.0,12.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,In the house,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,2015.0,Other,37000000.0
210.0,2.0,2.5,Central,Yes,Monolithic,Can live,,Lands of populated areas,Individual housing construction,1 at home,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,0.0,0.0,0.0,0.0,,Other,40000000.0
320.1,2.0,3.0,Yes,Yes,Other,Not specified,,Not specified,Not specified,Not specified,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Other,27350000.0
650.0,,10.0,Central,Yes,Other,Not specified,,Not specified,Individual housing construction,In the house,Central,Autonomous gas,Mainline in the house or on the plot,0.0,0.0,1.0,1.0,1.0,1.0,,Other,170000000.0
360.0,2.0,5.1,No,No,Other,Not specified,,Not specified,Not specified,Not specified,No,No,No,0.0,0.0,0.0,0.0,0.0,0.0,,Elite,85000000.0
220.0,2.0,6.0,Central,Yes,Monolithic,Can live,4.0,Lands of populated areas,Individual housing construction,3 at home,Central,Central gas,Mainline in the house or on the plot,0.0,1.0,1.0,1.0,1.0,1.0,,Other,28000000.0
